tx_hash,from_address,to_address,amount,token,timestamp,latency_seconds,gas_sponsor,tx_type,ground_truth_label
0x71fb_a301,0xVic_9011,0xMule_A1,48500.0,USDT,2026-03-30T10:00:00Z,42,0xGasSponsor_Sybil,theft_exfiltration,1
0x22ab_9900,0xVic_9011,0xDust_Pruned,700.0,USDT,2026-03-30T10:02:00Z,120,,dust_noise,1
0x88ea_120f,0xMule_A1,0xMule_A2,24000.0,USDT,2026-03-30T10:02:18Z,18,0xGasSponsor_Sybil,layering_split,1
0x99cb_e843,0xMule_A1,0xMule_B1,23800.0,USDT,2026-03-30T10:02:22Z,22,0xGasSponsor_Sybil,layering_split,1
0x33dc_91bc,0xMule_A2,0xConsol_99,23950.0,USDT,2026-03-30T10:02:34Z,12,,fan_in_consolidation,1
0x44fa_7302,0xMule_B1,0xConsol_99,23720.0,USDT,2026-03-30T10:02:37Z,15,,fan_in_consolidation,1
0x10fe_ca41,0xConsol_99,0xVASP_GlobalEx,47500.0,USDT,2026-03-30T10:02:45Z,8,,terminal_offramp,1
0xaa01_4412,0xVic_8820,0xMule_C1,35000.0,USDT,2026-03-30T11:15:00Z,35,0xGasSponsor_Sybil,theft_exfiltration,1
0xaa02_9931,0xMule_C1,0xMule_C2,17400.0,USDT,2026-03-30T11:15:25Z,25,0xGasSponsor_Sybil,layering_split,1
0xaa03_7718,0xMule_C1,0xMule_C3,17200.0,USDT,2026-03-30T11:15:30Z,30,0xGasSponsor_Sybil,layering_split,1
0xaa04_8819,0xMule_C2,0xConsol_88,17350.0,USDT,2026-03-30T11:15:45Z,15,,fan_in_consolidation,1
0xaa05_6620,0xMule_C3,0xConsol_88,17150.0,USDT,2026-03-30T11:15:50Z,20,,fan_in_consolidation,1
0xaa06_1199,0xConsol_88,0xVASP_OffshoreX,34300.0,USDT,2026-03-30T11:16:02Z,12,,terminal_offramp,1
0xbb01_0011,0xLicit_User_01,0xLicit_Merchant_A,150.0,USDT,2026-03-30T09:10:00Z,3600,,merchant_payment,0
0xbb02_0022,0xLicit_User_02,0xLicit_Merchant_B,420.0,USDT,2026-03-30T09:25:00Z,1800,,merchant_payment,0
0xbb03_0033,0xLicit_User_03,0xLicit_DexPool,2500.0,USDT,2026-03-30T09:40:00Z,7200,,dex_swap,0
0xbb04_0044,0xLicit_User_04,0xLicit_Merchant_A,85.5,USDT,2026-03-30T10:12:00Z,5400,,merchant_payment,0
0xbb05_0055,0xLicit_User_05,0xVASP_Binance,1200.0,USDT,2026-03-30T10:45:00Z,14400,,regular_deposit,0
0xbb06_0066,0xLicit_Merchant_A,0xVASP_Binance,3500.0,USDT,2026-03-30T12:00:00Z,28800,,settlement,0
0xbb07_0077,0xLicit_User_06,0xLicit_User_07,310.0,USDT,2026-03-30T12:30:00Z,86400,,p2p_transfer,0
0xbb08_0088,0xLicit_DexPool,0xLicit_User_08,1850.0,USDT,2026-03-30T13:10:00Z,3600,,dex_swap,0
0xbb09_0099,0xLicit_User_09,0xLicit_Merchant_B,95.0,USDT,2026-03-30T13:45:00Z,7200,,merchant_payment,0
0xbb10_0100,0xLicit_User_10,0xVASP_Coinbase,800.0,USDT,2026-03-30T14:20:00Z,10800,,regular_deposit,0
0xcc01_1101,0xVic_7701,0xMule_D1,62000.0,USDT,2026-03-30T14:00:00Z,50,0xGasSponsor_Sybil,theft_exfiltration,1
0xcc02_1102,0xMule_D1,0xMule_D2,31000.0,USDT,2026-03-30T14:00:20Z,20,0xGasSponsor_Sybil,layering_split,1
0xcc03_1103,0xMule_D1,0xMule_D3,30800.0,USDT,2026-03-30T14:00:25Z,25,0xGasSponsor_Sybil,layering_split,1
0xcc04_1104,0xMule_D2,0xConsol_77,30900.0,USDT,2026-03-30T14:00:40Z,15,,fan_in_consolidation,1
0xcc05_1105,0xMule_D3,0xConsol_77,30700.0,USDT,2026-03-30T14:00:42Z,17,,fan_in_consolidation,1
0xcc06_1106,0xConsol_77,0xVASP_GlobalEx,61400.0,USDT,2026-03-30T14:00:55Z,13,,terminal_offramp,1
0xdd01_2201,0xLicit_User_11,0xLicit_User_12,500.0,USDT,2026-03-30T15:00:00Z,43200,,p2p_transfer,0
0xdd02_2202,0xLicit_User_12,0xLicit_DexPool,480.0,USDT,2026-03-30T15:30:00Z,1800,,dex_swap,0
0xdd03_2203,0xLicit_User_13,0xVASP_Binance,2100.0,USDT,2026-03-30T16:00:00Z,14400,,regular_deposit,0
0xdd04_2204,0xLicit_Merchant_B,0xVASP_Coinbase,5400.0,USDT,2026-03-30T16:45:00Z,28800,,settlement,0
0xee01_3301,0xVic_5544,0xMule_E1,28000.0,USDT,2026-03-30T17:00:00Z,40,0xGasSponsor_Sybil,theft_exfiltration,1
0xee02_3302,0xMule_E1,0xConsol_99,27850.0,USDT,2026-03-30T17:00:15Z,15,,fan_in_consolidation,1
0xee03_3303,0xConsol_99,0xVASP_GlobalEx,27800.0,USDT,2026-03-30T17:00:25Z,10,,terminal_offramp,1
