txId1,txId2
665,11
1344,979
299,3710
4029,1948
4062,11
748,2469
646,718
3386,1800
3065,3448
1032,723
494,1327
3120,3402
455,2076
874,3592
4730,1047
4263,3951
294,3178
2147,2098
2164,3763
270,287
2198,4681
499,2801
2467,4097
154,832
4242,1263
1696,2430
3693,3695
116,2497
4787,2403
4392,4029
1036,1158
4367,4854
3445,738
1548,3992
2332,2442
2854,1393
1374,1386
407,3755
1499,1239
3522,1285
3693,3732
3589,216
1697,4648
457,4270
1746,3796
3076,3940
87,4630
4046,1455
3793,630
172,4150
4840,4721
2527,1285
363,4544
3512,3466
3091,3208
545,1067
2808,3933
4274,1606
4806,314
488,3182
16,1161
786,3619
2865,4171
39,207
2556,2104
1698,4428
3311,3637
95,4671
2404,3215
3330,611
383,3781
1504,2176
3118,308
1259,119
62,1213
26,814
4192,1504
4987,1406
4994,236
1825,1067
176,2175
155,3703
4876,4973
2840,3601
1891,2331
3607,2199
124,241
4720,1689
2960,3560
583,1341
2045,3298
3794,1927
4994,1905
556,2019
604,718
927,1528
1446,4365
4519,3955
2580,512
1774,2424
204,2869
2339,3994
4402,3322
4866,84
4339,4075
3732,3832
23,327
948,640
4174,4809
4190,2499
4299,152
1508,1666
2239,4051
2439,1568
4580,3372
1760,2241
3743,3064
2100,3410
3358,4376
4580,4141
2432,2442
3683,1474
566,4705
2812,2939
4562,3344
3183,4199
456,2481
4713,3259
1074,836
101,3721
1606,4546
3441,1506
296,4761
2726,600
531,308
4835,2816
4019,2877
3164,3834
4505,3327
921,1083
4719,3953
4064,4273
4888,692
801,490
4273,77
3448,3527
2724,1041
4382,1618
346,2547
51,3380
1272,1374
2775,3178
4518,1437
1572,4377
70,2880
335,4982
2560,4345
3414,318
30,946
129,3706
25,3386
570,749
1371,1374
849,921
3732,3927
1343,1627
4056,3032
1361,4394
3090,3213
877,395
3056,3213
1057,37
4278,3529
4852,4866
3850,694
400,3092
370,564
4402,4237
4780,3313
3090,3448
4609,455
4581,1818
1666,1686
461,505
4258,751
3829,782
166,3180
393,686
417,2177
2851,773
1875,1592
3904,3537
2164,727
445,3034
4656,4603
4397,3282
374,4171
4776,2399
1408,1479
1368,126
230,4613
644,144
4852,4876
3543,2503
4954,159
1572,3153
3553,4287
2236,971
3204,1461
2432,2620
219,1432
338,4330
1859,1588
531,2675
241,287
4451,341
92,3701
674,285
4382,4896
1526,3488
4652,4746
4716,1840
4883,3714
3988,926
1696,3512
4796,4078
478,335
2334,1159
354,392
1182,2770
1461,2734
1631,217
387,3215
532,1021
2288,449
2405,2792
2239,3677
2560,2047
1941,2115
3682,55
498,4299
4848,1685
1809,1891
529,1139
2505,3785
2684,907
400,3897
2489,3031
418,2311
770,2882
2178,1665
2617,316
3465,2527
557,671
1271,833
3075,536
3927,3968
2525,2745
1197,2357
2704,425
7,4817
784,4870
1951,2248
105,2126
3056,3120
423,448
545,3501
753,768
4719,11
2648,1926
277,3937
3075,68
3205,1733
2074,3743
4495,1880
2775,1811
511,558
1391,101
3246,3828
380,424
300,1924
1783,3336
392,424
1083,1272
371,4043
3209,1471
506,2076
202,1732
57,4030
221,4476
3359,2358
543,2425
4581,3574
3441,3589
984,4234
269,630
3607,497
761,4588
2184,830
1270,112
3736,1975
2415,2229
3355,2716
2986,1514
2427,986
1344,4269
2532,3019
4758,1215
22,3372
588,3725
640,4139
1554,1296
4692,64
535,537
664,824
566,2474
1871,1891
1575,2046
322,3522
3359,3488
1182,4791
207,241
3639,3710
3044,3910
303,3422
1978,4373
3888,3353
4632,2124
4779,3264
29,2830
1078,3387
1017,827
2310,1265
1045,3365
3693,3707
1818,4951
3694,4218
350,3538
2023,4738
918,792
4262,479
3030,3213
3448,3513
1845,125
3879,894
4722,942
3576,3395
2771,166
3059,232
733,3947
2769,1566
3784,1910
3995,571
646,3353
3061,4835
4670,2031
748,102
1742,4715
4676,4696
753,771
4156,3681
572,3657
3324,3702
2677,1482
3746,10
4159,4273
4377,3427
287,302
2919,1756
588,604
1449,2659
2356,2661
291,137
2365,2442
2184,128
1951,2155
4871,635
4875,4664
1457,2274
4696,4866
2448,3700
846,1211
489,4776
4653,1841
1197,2342
631,4147
264,1836
2142,2766
606,259
4394,3733
288,2259
3707,3813
2023,1803
3728,1502
1460,621
3968,4273
4469,4066
4004,2330
2799,276
4009,3428
4206,3596
3225,396
3704,3176
4585,4106
801,704
4281,4977
2840,4731
514,4946
4151,3683
1955,920
3059,2749
3512,3122
2390,935
2357,3085
1760,27
4919,1594
4687,4054
3123,2605
270,4332
423,957
354,380
2979,987
1186,2965
2271,1072
433,3888
10,1651
3792,1235
473,3960
147,4389
2712,3820
1272,1368
246,3057
4803,2889
2103,3576
3813,97
2483,3926
580,2916
161,4963
1698,2050
2205,1302
3927,4159
4887,1337
2752,1990
2299,4499
3246,3430
2525,3763
1303,3905
2596,1021
173,575
3832,4159
2921,3564
3418,4339
3018,4725
207,223
4232,4273
3940,792
1270,2610
1826,4667
1820,495
2317,4338
3201,1585
331,4760
3699,1214
3927,4064
235,964
241,376
4254,1058
4242,4972
1457,4763
66,327
596,1795
3949,4404
283,3132
2686,3956
637,4237
1133,4437
4243,2106
3244,4048
4607,4203
2597,2791
1083,1158
4568,4643
3478,259
1619,4962
429,4084
259,1744
2331,2432
2117,3785
4616,57
424,3590
4082,1603
3465,2637
1158,1374
4992,1091
6,3625
276,3952
2069,4174
2606,4961
3018,2143
2821,2840
3171,2628
3164,1603
3468,1661
380,2222
912,4536
1005,1180
3319,4190
137,456
1845,816
1121,1854
334,1388
4720,388
2135,2091
304,361
3053,537
2088,2536
623,2336
3793,3038
2597,363
4273,4364
4697,1872
1433,3635
477,1383
921,1036
239,287
623,718
2385,860
38,720
10,2862
4814,2698
1446,1925
96,4415
1449,3691
3610,3308
4316,1535
2921,4601
668,135
108,1109
4062,3802
2910,1504
4987,419
1402,2862
3314,3210
1042,906
61,4819
365,3182
4670,3229
40,2260
4005,3589
2379,4771
2312,2287
4788,254
2331,2365
3386,347
457,2541
27,3819
749,2026
136,4322
1473,1475
4026,2119
309,405
4078,2376
2149,3872
67,4566
4849,2488
3880,3452
3391,3198
521,1376
614,1694
916,3462
4810,4876
3706,4687
1320,1374
3213,3448
793,4613
3118,1716
343,229
3438,4881
4430,2643
560,3821
4973,18
417,3483
4559,2443
2278,977
4167,3475
316,4511
557,394
4732,4421
4917,4464
4712,1254
1978,4870
4761,3559
3640,3541
1659,2820
2595,2770
718,753
121,1004
3056,3065
491,977
296,3777
349,2351
4672,568
4779,115
4861,3915
1045,2118
3185,1092
2776,1997
1215,856
