txId,timestep,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,local_feature_1,local_feature_2,local_feature_3,local_feature_4,local_feature_5,local_feature_6,local_feature_7,local_feature_8,local_feature_9,local_feature_10,local_feature_11,local_feature_12,local_feature_13,local_feature_14,local_feature_15,local_feature_16,local_feature_17
1,1,8.218661,0.009863,1.771768,3.374545,0.563667,957.784841,0.650617,0.304086,0.821282,0.305196,-0.335328,-0.29234,-0.405598,0.077081,-0.33489,0.526815,-0.052028,0.274614,0.103093,0.170337,-0.312778,0.038279,-0.099579,0.01455,0.093641,0.288516,-0.112945,0.338262,0.165232,0.623568,-1.109409,-0.174938,0.490502,-0.832437,0.569623,0.078772,-0.66478,0.303957,-0.318401,-0.269484,0.562626,-0.085414,-0.285774,0.752786,0.375176,-0.067099,-0.226319,-0.021386,0.602052,-0.293877,-0.395857,0.496093,-0.048743,0.08516,0.233707,-0.086526,-0.798429,-0.024259,0.484366,0.810357,0.008746,0.039965,0.527913,0.258496,0.153396,-0.642696,-0.095723,0.125163,-0.479915,-0.078117,0.64798,-0.040002,-0.452026,-0.610485,0.046049,-0.152203,-0.253981,0.129628,0.149682,0.111103,0.172672,-0.380148,-0.174176,-0.064156,0.031162,0.396351,-0.204867,-0.22215,0.570584,0.105458,-0.439314,-0.05884,-0.382666,-0.347937,-0.366992,-0.178592,0.820901,0.453668,0.583585,0.480664,0.052792,0.241203,0.135987,-0.273826,-0.306851,0.415123,-0.326438,0.170324,0.328236,0.363458,0.229243,-0.320255,0.289139,0.051607,-0.242143,-0.596064,0.257923,-0.443355,-0.497565,0.711771,-0.32048,-0.046992,0.125128,0.124577,-0.256758,-0.147914,0.381979,0.002425,0.091899,-0.656911,-0.100794,0.400094,-0.155221,-0.233036,0.231216,0.30953,0.216809,-0.098228,0.362369,0.670139,0.509488,-0.447167,1.125323,-0.363961,-0.32907,0.206538,0.066974,0.226473,0.559075,0.425679,-0.212717,0.125224,0.453923,0.468519,0.493559,0.386108,0.347766,-0.07973,-0.361362,0.247838,-0.05891,0.53558,-0.205396,-0.033416,-0.049835,0.438441,0.600578,0.309128,0.416807,0.945905,-0.405065,0.599215,0.73199,0.78571,0.621,-0.009565,0.084384,0.564872,0.064281,0.220663,-0.3021,-0.176978,0.438663
2,1,4.221994,0.002965,1.612194,2.661669,0.534688,2058.867677,0.526544,-0.038026,0.046027,-0.260543,-0.125558,-0.592975,-0.35825,-0.365468,-0.089609,0.445613,0.046839,0.102663,-0.279855,0.150489,0.643522,0.019466,-0.238657,-0.358056,0.142016,-0.279458,0.299686,-0.304311,-0.529641,0.217983,-0.402796,0.262147,0.4131,-0.157485,0.122907,0.537255,-0.112691,0.609459,-0.064995,-0.278198,0.08414,0.128794,0.447027,0.360245,0.179333,0.279664,0.113308,0.327237,-0.131547,-0.328443,0.122995,0.991205,0.332688,-0.195006,0.537869,-0.602571,-0.038164,0.189098,-0.185633,-0.157965,-0.0095,-0.139876,-0.224452,-0.329477,-0.49602,-0.288244,0.014457,0.40223,-0.182189,-0.374093,0.611906,-0.35014,0.083107,-0.277733,-0.201623,0.185298,0.211405,0.494854,0.284067,0.103911,0.2686,-0.310585,0.473682,0.236433,0.221427,0.259478,-0.467899,-0.346876,0.096299,0.100728,0.251264,0.087302,-0.014579,0.490225,0.22235,0.361331,0.518323,0.542386,0.211191,0.354022,0.193101,0.475383,0.898218,-0.265713,-0.163457,0.65429,0.165146,-0.050466,-0.142944,0.4281,0.296127,0.802711,0.068081,0.415553,0.678861,-0.401871,-0.268687,0.194998,-0.100398,-0.047519,-0.131323,0.048227,-0.216409,-0.34791,0.234812,0.143688,0.442605,0.282682,0.248384,0.363512,-0.2202,-0.074459,0.196202,0.427207,0.326294,0.025808,0.034799,0.187452,-0.304735,0.396997,0.370302,0.425165,0.447702,0.44926,-0.55942,0.178846,-0.400452,-0.233444,0.053518,0.514067,0.215904,0.181002,0.724968,0.184358,-0.232403,-0.387857,-0.205526,0.139164,-0.439227,0.253384,0.208113,-0.152006,0.136446,0.28077,-0.121179,0.356481,0.013314,0.535007,0.883056,0.42882,-0.209388,0.335485,0.332423,-0.044485,-0.203797,0.147349,0.647342,0.627154,0.779955,0.28206,1.085846,-0.038461,0.476326
3,1,4.775192,0.011966,1.832252,1.061499,0.660461,117.00349,0.238326,0.374227,0.042891,0.349457,-0.255777,0.503875,-0.011363,-0.635079,-0.263499,-0.439109,-0.462335,0.228673,0.17798,0.256784,-0.20805,0.236098,-0.463826,-0.119011,-0.005566,-0.149611,0.085161,0.042041,0.214891,0.156232,0.384349,-0.118085,0.278031,0.147117,0.135081,0.096801,-0.704768,0.721119,-0.270361,-0.228757,-0.062805,-0.408501,0.661059,-0.166895,-0.189335,-0.240387,0.202964,0.538544,0.145463,-0.220967,0.512973,0.149248,-0.202846,0.024794,0.095968,0.132977,0.050566,0.058371,0.701982,1.041798,0.110555,-0.271024,-0.317581,0.334596,-0.518422,-0.013632,0.188231,0.113585,-0.09163,0.69322,0.328689,-0.114795,0.324141,-0.014382,-0.130691,-0.092654,0.463882,-0.145668,0.025043,0.407016,0.156439,0.134143,-0.182858,0.865798,0.336404,-0.778992,0.506464,-0.400124,-0.430212,-0.194277,0.49025,-0.045347,0.123717,-0.534503,0.476424,0.006467,-0.351251,0.213687,0.271455,0.129758,0.551998,0.30427,0.625777,0.080824,0.138345,0.402463,0.505527,-0.016586,0.760043,0.140374,0.101693,0.254644,-0.1995,-0.476101,0.819518,0.472491,-0.223383,0.147984,0.318234,-0.070786,0.601593,-0.073079,0.447339,-0.12065,0.27751,0.642451,0.26605,-0.070829,0.177583,0.3537,-0.049819,-0.038224,0.716703,0.588935,-0.132142,-0.361409,-0.349198,-0.290175,0.000615,0.073499,-0.384315,0.154109,-0.916123,0.148941,0.662738,-0.325288,-0.907887,0.158292,0.345236,-0.042946,0.180057,0.551875,0.691279,0.309306,-0.3326,0.159296,-0.250101,0.094555,0.015512,-0.099834,0.635905,0.020316,-0.418334,0.232841,0.340138,0.117867,-0.009944,0.127041,0.064474,0.098129,0.019286,0.211584,-0.242321,0.39871,-0.012944,0.650837,0.4525,0.902309,-0.245713,0.864482,0.253372,0.547562,0.655901
4,1,8.383557,0.006246,2.254575,2.189977,0.78191,462.337867,0.621365,0.588789,0.752258,0.423832,0.561475,0.233263,0.418834,0.730764,0.031011,-0.50571,-0.009609,0.115093,-0.238375,-0.36925,-0.122544,-0.380503,0.369432,0.646637,0.286383,-0.438106,0.122476,-0.250399,0.147909,-0.238099,0.393997,0.295813,-0.06221,0.226564,0.07212,0.6546,-0.61555,0.194513,0.485052,-0.078377,-0.124682,0.112055,-0.271907,-0.137805,-0.308466,-0.012135,-0.682191,-0.160971,0.24546,-0.08249,-0.094164,0.364638,0.602228,-0.20803,0.471731,-0.562672,-0.246039,0.237528,0.140186,0.091688,0.3527,-0.020952,0.316877,-0.121143,-0.169621,-0.606216,0.286726,-0.253736,0.402636,0.40339,-0.027767,0.080538,0.119236,-0.021765,-0.460509,0.556011,-0.148737,0.235314,0.151976,0.151381,0.126628,0.369229,-0.254756,0.397225,0.108052,0.06373,-0.095284,0.034108,0.252706,-0.360183,-0.552203,-0.04617,0.295732,-0.054665,0.579914,0.553609,0.590879,0.608302,0.192243,0.298431,-0.138733,-0.839927,0.241887,-0.170108,0.02959,-0.769893,0.414138,0.029388,-0.106762,-0.304223,-0.184412,-0.196415,-0.239863,-0.394562,0.026568,-0.018349,0.400783,-0.513026,-0.056036,-0.211973,0.21932,0.081666,0.397158,0.743363,0.100373,0.285498,-0.16237,0.055609,0.1087,0.848601,-0.298846,0.053081,0.106808,-0.164015,0.223355,0.104961,0.141836,-0.152762,0.357106,-0.225658,-0.030251,0.396575,0.58926,-0.162581,0.317996,0.070133,0.465396,0.139011,0.693969,0.636414,-0.240634,-0.014375,-0.162675,0.071715,-0.536041,-0.485789,0.456931,0.219259,0.363719,-0.216638,-0.267884,0.032252,0.583994,0.126393,0.164047,0.512222,0.45187,0.372788,0.470958,0.223725,0.929355,0.258256,0.011791,0.572642,0.678669,0.111299,0.589593,0.730615,-1.04069,-0.38987,0.460203,-0.072223,0.974573
5,1,6.472184,0.005594,1.861765,1.844148,0.439528,1982.749697,0.800876,-0.491475,0.134275,-0.107365,0.08013,-0.213126,0.100344,-0.32526,0.042898,-0.041106,-0.53284,0.196394,-0.93415,-0.08149,-0.471706,0.139953,-0.067617,0.335936,-0.020737,-0.024539,0.44221,-0.112687,0.039608,0.549191,0.281667,0.74401,0.210672,-0.135375,0.425918,0.372818,-0.045592,0.239037,0.021153,0.224326,0.061414,0.004532,0.641071,0.209678,-0.415684,0.122945,-0.054707,0.159556,0.133975,0.178187,-0.544442,-0.498768,0.540207,0.040676,0.518335,0.234662,-0.136584,-0.540984,0.229182,0.231055,0.662913,-0.020881,0.076646,-0.582824,-0.162404,0.136081,-0.072779,-0.255884,0.546214,0.610938,-0.323852,0.084624,-0.099973,0.569687,0.133109,0.259049,-0.277262,0.514624,-0.054633,0.702023,0.432359,-0.177836,0.234422,0.135197,-0.027455,0.312456,0.041085,0.059846,-0.17104,-0.210543,0.076813,0.112537,0.426556,-0.4241,0.13937,0.657859,-0.137312,-0.265208,-0.224303,0.377013,-0.343157,0.106825,-0.134217,-0.101416,-0.007203,-0.031095,-0.028647,0.081113,0.194132,-0.058729,0.264712,-0.067862,-0.058933,0.114651,-0.50068,-0.187339,-0.133796,-0.257982,0.018951,-0.156634,-0.218923,0.455603,0.828862,0.447878,0.204338,0.493394,0.209964,0.008759,0.13903,-0.017553,-0.671686,-0.19448,-0.190152,0.269258,-0.068359,-0.529913,0.089996,0.20034,0.369255,0.227505,0.936707,-0.20359,0.561009,0.422358,-0.122382,0.055168,-0.161147,0.056631,-0.055071,-0.055706,0.098165,-0.262532,0.493589,0.40734,-0.143347,0.401941,-0.26799,-0.524406,0.210213,0.29129,-0.158771,0.284167,0.78617,1.154332,-0.20553,0.214328,-0.191427,1.432594,0.125666,0.643996,0.337784,-0.122825,0.217266,-0.241452,0.044022,0.192754,0.389978,-0.608692,0.273757,1.321198,-0.080693,0.430341,0.130738
6,1,-2.555543,0.005023,0.953214,2.846988,0.492984,3159.386483,0.434645,0.038741,-0.049481,0.200466,-0.412872,-0.061872,0.375998,-0.642039,-0.237196,0.046895,0.068738,-0.100898,0.128976,-0.265965,0.293835,0.058409,0.544555,0.253979,0.165477,0.42483,-0.24097,-0.087968,-0.525057,0.261146,0.49625,-0.145646,-0.365144,0.337451,-0.221192,-0.151327,0.461852,-0.107622,-0.055934,0.483556,0.177264,-0.31921,0.45159,-0.522407,0.302246,0.147055,-0.157019,-0.233669,-0.333721,0.5187,0.03733,-0.189187,0.172175,0.361383,0.095654,0.209095,0.286203,0.017625,0.094977,-0.034613,-0.297704,-0.380105,0.135186,-0.212521,-0.006317,-0.074315,0.291085,0.083989,0.091941,-0.085955,-0.041402,-0.101971,0.074881,-0.517229,-0.005925,0.110267,0.117979,-0.323247,-0.126332,-0.114232,-0.161992,-0.36506,-0.32593,0.002728,0.115645,0.044398,-0.261445,0.115495,-0.059638,-0.148658,-0.277586,-0.152807,0.215093,-0.055192,-0.036942,-0.300308,0.837127,-0.679485,-0.608374,-0.157452,0.059824,0.53206,0.154134,0.090247,0.275893,0.028524,-0.586529,0.076452,0.06519,0.650897,-0.216288,0.377213,-0.408054,0.459835,0.039777,0.251096,0.211144,0.203342,0.029263,-0.196794,-0.047908,-0.22963,-0.033809,-0.482658,0.051671,0.293185,0.360572,0.394145,0.045743,-0.046246,-0.076572,0.117708,0.215132,0.101442,-0.403625,0.413416,0.143244,0.297206,0.015577,-0.078298,0.581264,-0.32095,-0.506442,0.598739,0.072118,-0.128511,-0.175511,-0.601824,0.560181,0.211689,0.152997,0.247402,-0.2744,0.137518,0.325714,-0.661477,0.178789,0.224123,0.030445,-0.26567,-0.049669,-0.137456,0.108853,-0.159628,0.229326,-0.155501,1.084125,0.001584,0.451779,0.203162,0.551295,2.564614,0.004783,0.21454,3.163179,0.038955,0.098049,0.087054,1.060842,0.264504,0.032127,-0.017559,0.237209
7,1,1.834816,0.00545,1.583848,2.734056,0.804652,7949.2195,0.450767,-0.144048,-0.197041,-0.05355,0.241334,0.286467,0.185078,-0.568335,-0.16985,0.437007,-0.159926,-0.024101,0.81804,-0.02218,0.42703,0.551613,0.227453,-0.130472,-0.684008,-0.257681,0.192994,0.177588,0.351681,-0.331759,0.059834,-0.615033,-0.264843,0.158791,-0.654673,0.245012,0.549193,-0.430826,-0.077661,0.515542,0.150191,0.119201,0.032252,-0.411541,-0.041051,0.386,0.026093,0.216508,-0.108524,-0.261432,-0.129365,-0.31591,-0.408693,-0.00597,-0.068633,-0.282118,0.208821,-0.279476,0.127676,0.149514,0.499788,0.102616,0.236877,0.022413,-0.422156,0.256717,0.503816,-0.037284,0.628133,0.277159,0.600294,-0.054357,-0.265401,0.016793,-0.217871,0.059537,-0.072491,0.049354,-0.027014,-0.292276,-0.158822,0.380738,-0.019051,-0.402248,-0.605041,-0.096728,0.08364,-0.354066,-0.536197,0.168245,0.958234,0.261599,-0.298983,-0.035297,-0.035654,-0.381533,-0.421244,-0.04283,0.237049,0.075863,-0.204989,0.152826,0.156378,-0.294804,-0.365348,0.193553,0.340866,0.121624,0.353769,0.440099,-0.458504,0.143587,0.394789,0.340073,0.428166,-0.176274,0.204519,0.232884,-0.179451,0.057205,-0.399515,-0.254652,0.098271,0.315425,-0.000238,0.460231,0.446797,-0.294849,-0.030413,-0.151035,0.246976,0.215446,-0.238112,0.277226,-0.396199,0.353355,-0.731752,-0.053735,-0.212376,0.202779,0.075765,-0.657459,-0.403621,-0.176145,0.355133,0.489379,0.204602,0.426885,-0.225932,0.124982,0.038094,-0.323943,-0.105118,-0.107054,0.136826,0.148618,-0.164531,-0.159563,-0.570188,0.151594,-0.031023,-0.008697,0.163741,-0.148612,-0.289149,-0.180613,1.22507,0.001109,0.318248,0.105924,0.535205,1.214689,-0.024706,0.100885,4.309947,0.113712,0.107505,0.043263,0.935042,0.123235,0.072112,0.005671,0.122259
8,1,4.119778,0.007284,1.74985,1.353782,0.257413,2633.960862,0.04906,0.04355,-0.18237,-0.379163,0.109285,0.120543,-0.05536,-0.087683,0.273989,-0.08135,0.07742,-0.340498,0.167276,-0.042882,0.155471,-0.081937,-0.225892,-0.360603,-0.061892,-0.137819,-0.38916,0.375269,0.307688,-0.610388,-0.641694,-0.455882,0.046961,0.803913,-0.354551,-0.095171,0.399874,-0.148598,0.334763,0.28024,-0.008764,0.264619,0.280775,-0.420866,-0.052378,-0.188737,0.008895,-0.364113,-0.298938,0.016733,-0.002193,0.415675,0.063127,0.429705,0.393108,0.341354,-1.060448,-0.231898,0.139036,-0.396955,-0.158366,0.200574,0.014261,-0.104662,0.51974,-0.126634,0.333399,-0.014904,0.029747,-0.10756,-0.252181,-0.066484,-0.409704,0.18334,0.033921,-0.132027,0.238327,-0.312669,-0.590286,0.126429,-0.413233,-0.418591,0.048889,0.289892,-0.233571,-0.267661,0.451879,-0.423748,0.254381,0.128956,-0.217723,-0.040921,-0.257989,-0.199834,-0.045837,-0.212074,-0.494273,0.213707,-0.181297,0.238982,-0.04619,0.843836,0.167426,-0.403904,-0.411647,-0.268913,-0.128573,-0.495776,-0.337804,0.004538,-0.468916,-0.029987,0.069899,-0.301464,0.181187,0.025519,0.328001,0.199413,-0.063788,-0.047258,0.138545,0.113328,-0.507839,0.277962,-0.168291,0.34021,0.053741,-0.194876,-6.6e-05,0.432143,-0.224871,-0.512875,-0.076705,0.377815,0.476449,0.309821,-0.636076,-0.071138,-0.143421,-0.052935,-0.328483,-0.082509,-0.35523,0.696029,0.017978,-0.155254,-0.371855,0.287366,0.175046,0.348594,0.103989,-0.140546,-0.218372,-0.22931,-0.121524,0.205591,-0.165484,0.08528,0.225882,-0.136222,0.293547,0.126084,0.114946,-0.007784,0.052027,-0.258123,0.829222,0.001125,0.768314,0.126952,1.451072,1.338384,0.071718,0.201875,4.076398,0.044899,0.072481,0.035145,0.827456,0.078748,0.063716,0.025232,0.116429
9,1,3.094546,0.0114,0.61737,1.238788,0.659808,942.742052,0.171096,-0.173328,0.194878,-0.432028,-0.176695,-0.325611,0.496831,-0.082914,-0.155805,0.034113,0.259203,-0.621889,-0.324278,0.065508,-0.188945,-0.432726,-0.212684,0.046984,0.097705,0.588021,-0.491756,-0.444322,-0.362343,0.291876,-0.268781,-0.455664,0.243707,-0.222025,0.334591,0.064402,-0.198555,0.268149,0.244765,0.450586,-0.124088,-0.095556,0.441628,0.333463,0.07715,-0.255005,-0.314177,-0.429308,-0.29723,-0.062032,-0.357542,0.216202,-0.773571,-0.240372,-0.204057,0.182615,0.1568,-0.369226,0.068619,-0.313323,0.087433,-0.365938,0.038424,0.440565,0.612059,0.326013,-0.309473,-0.155701,-0.27996,-0.183052,-0.524346,-0.189103,0.335335,0.67031,0.130403,0.060971,0.201897,-0.474166,-0.253726,0.241553,-0.069916,-0.110423,0.256264,-0.572025,0.350171,-0.243627,0.169001,0.000196,0.21854,0.297701,-0.303584,0.251202,0.151937,0.427631,-0.158437,0.35627,0.218597,-0.13263,0.300341,-0.111696,0.273959,-0.030105,0.032435,0.020381,0.304196,-0.026016,0.17421,0.179897,-0.257772,0.277199,0.441879,0.153238,0.121729,-0.255541,0.386793,-0.460159,0.04324,0.464955,-0.206701,0.161861,-0.217894,0.197544,-0.424514,-0.123676,-0.191333,0.030463,-0.510364,0.452259,0.09302,-0.146652,0.446704,-0.007141,0.076949,0.086486,0.477246,0.047255,-0.320314,0.026827,0.12595,-0.007751,-0.194891,-0.24246,-0.509084,0.144341,-0.250349,-0.192757,0.152856,0.323764,-0.310675,-0.105388,-0.118183,0.151755,-0.312,-0.240675,0.126012,-0.180974,-0.308575,-0.003352,-0.2749,-0.082055,0.385139,-0.053004,-0.041124,-0.14116,-0.456369,0.053192,2.313532,0.001631,1.356026,0.120455,1.300877,0.729989,0.335198,0.348732,4.941134,0.147731,0.109385,-0.026136,0.98751,0.400161,0.062883,0.003471,0.169402
10,1,5.246724,0.011003,0.614465,0.878011,0.482108,3387.730183,0.091991,0.520377,-0.131586,-0.019622,0.07803,0.441638,-0.232542,-0.055713,-0.382355,0.314662,0.127838,0.047549,0.085318,0.544792,-0.033022,-0.175164,-0.173667,0.30929,0.176442,0.144053,-0.194532,0.163947,0.180264,0.031816,-0.03953,0.142045,0.119858,-0.143971,-0.093629,-0.514559,0.179237,-0.032922,0.464862,-0.5353,0.050877,0.177896,-0.209581,0.144896,0.084957,0.158854,-0.07,-0.953031,0.024267,0.028226,-0.219355,-0.397589,0.156882,0.118931,0.473779,-0.241951,0.355656,0.005132,-0.148883,0.149765,0.262951,-0.157564,0.471122,0.005643,-0.369919,-0.341601,0.32159,-0.165879,0.026711,0.031786,-0.033731,0.29381,-0.144572,-0.332907,-0.690422,-0.035543,-0.079218,0.371477,-0.211231,0.306965,-0.086711,0.516206,-0.292113,-0.120346,0.203588,0.356531,0.253183,-0.400536,0.32649,-0.00279,-0.488437,-0.167644,-0.104515,-0.239764,0.391775,0.161064,0.341815,-0.264061,-0.501021,0.13565,0.010214,0.25897,0.198045,0.046764,0.240354,0.023002,0.06155,0.593539,0.386906,-0.31558,-0.474591,0.407186,-0.130921,-0.039494,-0.146443,0.09813,-0.124171,-0.357104,-0.535497,-0.717572,-0.316259,0.367412,-0.281308,-0.007053,0.336448,0.394163,-0.167105,0.213397,-0.112653,-0.581527,0.287232,0.033039,-0.263118,0.0618,0.100094,0.049952,-0.290458,-0.052404,0.091666,0.226146,-0.064769,-0.324967,0.127308,0.37109,-0.178665,0.151761,0.314481,0.317504,0.403391,0.085006,0.422313,0.405691,-0.248225,0.093009,0.070555,-0.205358,-0.098762,-0.602394,0.213111,0.254668,0.345267,0.404605,-0.181482,-0.047995,0.463082,0.3239,0.909969,-0.00018,0.431343,0.04315,1.231323,2.179616,0.005287,0.241223,1.676348,0.298592,0.124127,0.064255,0.643393,-0.019913,0.002058,0.000865,0.19381
